STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNWD,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TAVG,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,45.7,37.7705,-122.4269,20140625,0.0, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,16.7, , ,W,2400,12.2, , ,W,2400
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,45.7,37.7705,-122.4269,20140626,0.3, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,18.3, , ,W,2400,12.8, , ,W,2400
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,45.7,37.7705,-122.4269,20140627,0.0, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,19.4, , ,W,2400,12.8, , ,W,2400
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,45.7,37.7705,-122.4269,20140628,0.0, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,20.0, , ,W,2400,12.2, , ,W,2400
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,45.7,37.7705,-122.4269,20140629,0.0, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,22.8, , ,W,2400,12.8, , ,W,2400
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,45.7,37.7705,-122.4269,20140630,0.0, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,22.8, , ,W,2400,13.3, , ,W,2400
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,45.7,37.7705,-122.4269,20140701,0.0, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,18.3, , ,W,2400,12.8, , ,W,2400
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,45.7,37.7705,-122.4269,20140702,0.0, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,18.3, , ,W,2400,12.2, , ,W,2400
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,45.7,37.7705,-122.4269,20140703,0.0, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,18.3, , ,W,2400,12.2, , ,W,2400
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,45.7,37.7705,-122.4269,20140704,0.0, , ,W,2400,-9999, , , ,9999,-9999, , , ,9999,-9999, , , ,9999,16.7, , ,W,2400,12.2, , ,W,2400
